source,sampled,empty_content,empty_pct,short_content,short_pct,bad_pct,unique_prefixes_of_5,repetitive,sample_content
20min_ch,500,0,0.0,0,0.0,0.0,5,False,"Krieg in NahostExplosionen in DubaiEmirates-A380-Flug aus Zürich kreiste stundenlang über der Wüste8958139
Epstein-FilesJetzt veröffentlichtUS-Justizm"
24chasa_bg,500,0,0.0,0,0.0,0.0,5,False,"Добре дошли в(ъв) 24chasa.bg
Личните ви данни ще се обработват и информацията от устройството ви („бисквитки“, уникални идентификатори и други данни о"
24sata_hr,500,0,0.0,0,0.0,0.0,5,False,"STRAH OD ŠPIJUNAŽE
Rusi kupovali vikendice u Finskoj, vrlo blizu vojnih objekata. Slučajnost?!
Čini se da je isti slučaj u Švedskoj, Norveškoj. Mnoge "
aamulehti_fi,500,0,0.0,0,0.0,0.0,5,False,"Valkeakoskelaiset nuorisovaltuutetut Iris Käkönen ja Sofia Sammalniemi kertovat, mitä ajattelevat somehaasteista, ja miten niihin tulisi suhtautua."
abc_es,500,0,0.0,0,0.0,0.0,5,False,"Manifestarse y marchar para recordar estas y otras premisas es ya algo habitual cada 8 de marzo desde hace años en nuestra sociedad, produciéndose dif"
abola_pt,500,0,0.0,0,0.0,0.0,4,False,"Requisito de verificação de idade

Este artigo contém conteúdo para adultos que pode ser inadequado para menores. Por favor, confirme que tem 18 anos "
adevarul_ro,500,0,0.0,0,0.0,0.0,5,False,Ne găsești și pe app.actualitate.net. Cele mai importante știri din România. Aplicație disponibilă pe iOS și Android.
adressa_no,500,0,0.0,0,0.0,0.0,5,False,"Kurdiske sikkerhetsstyrker melder at fire droner ble skutt ned av internasjonale koalisjonsstyrker, og at ingen ble skadet av deler som falt ved et ho"
aftenposten_no,500,0,0.0,0,0.0,0.0,5,False,Vi følger Emil Hegle Svendsens vei til VM. Denne gangen handler det om ukevis i høyden og hotellsenger på bortgjemte steder. I morgen får han svar på 
aftonbladet_se,500,0,0.0,0,0.0,0.0,5,False,"Möt Ljubomir Vranjes – hetaste svensken i handbollsvärlden square1 Bråket med Per Carlén square1 Depressionen square1 Framtiden och landslaget

Läs oc"
aksam_com_tr,500,0,0.0,0,0.0,0.0,5,False,"Bölgede tansiyon düşmüyor! Trump: Hiç görülmemiş güçle vururuz
ABD Başkanı Donald Trump, İran'ın ABD'yi ""daha önce hiç olmadığı kadar güçlü şekilde vu"
alriyadh_com,257,0,0.0,0,0.0,0.0,5,False,"اقتراحات المحررين
الأكثر قراءة
الهلال يطالب بمراجعة آلية استقطاب الطواقم ...
جدّدت شركة نادي الهلال استغرابها من آلية اختيار الطواقم التحكيمية الأجنبي"
appledaily_com,137,0,0.0,0,0.0,0.0,2,False,"At Apple Daily, we are more than just a news source. Our unique selling point lies in our commitment to delivering a diverse range of content, connect"
as_com,500,0,0.0,0,0.0,0.0,5,False,"Portugal | Kika Nazareth
“No quiero estar en el mismo saco que Figo, Mou o Cristiano”
Amalia Fra
Copa de Asia (F)
Irán califica a sus jugadoras como """
assabah_ma,153,0,0.0,0,0.0,0.0,5,False,"أنفق المغارب في ظرف شهر ما يناهز 300 مليار درهم لتمويل سفرياتهم بالخارج. وأفاد مصدر من مكتب الصرف أن نفقات المغاربة على…
أكمل القراءة »تمكنت عناصر الأ"
aujourdhui_ma,191,0,0.0,0,0.0,0.0,5,False,"Actualité

Droits humains et culture de la paix : Le CNDH met en avant l’expérience marocaine devant le CDH

Engagement : Le Conseil national des droi"
berlingske_dk,500,0,0.0,0,0.0,0.0,5,False,"xxx

Ikke en »letsindig« regering

Da Folketinget tidligere i dag torsdag skulle tredjebehandle lovforslaget om statsborgerskab, nævnte integrationsmi"
bharian_com_my,500,0,0.0,0,0.0,0.0,2,False,"Advertising presented to you on this service can be based on your advertising profiles, which can reflect your activity on this service or other websi"
bild_de,426,0,0.0,0,0.0,0.0,5,False,"+++Jetzt Live: Das große Wahlspezial und Expertenrunde bei BILD

+++Jetzt Live: Das große Wahlspezial und Expertenrunde bei BILD

+++Jetzt Live: Das g"
blesk_cz,500,0,0.0,0,0.0,0.0,5,False,Zpěvačka Marcela Březinová (43) se svlékla! Seriál jejích pornosnímků vznikl pro magazín Leo. A Březinová se opravdu nestyděla. Její snímky patří beze
blic_rs,10,0,0.0,0,0.0,0.0,5,False,"Vesti
Najčitanije
Info najnovije
Sportal
-
""TATINE USNICE"" Sloba Radanović pokazao NEODOLJIVU SLIKU SINA: Damjan je napunio tri godine, a pevač puca o"
blick_ch,500,0,0.0,0,0.0,0.0,5,False,"Sind Sie ein Füdlibürger? Frau, Kind, VW-Kombi und ein Reihenhäuschen: ein klassischer Füdlibürger – wenns nach dem Städter geht. Aber auch die City h"
blikk_hu,500,0,0.0,0,0.0,0.0,5,False,"A Ferrari két ászának, Charles Leclerc és Lewis Hamilton parádéja a Hősök terénél, a száguldó cirkusz legnagyobbjainak arcképe a margitszigeti Zenélő "
bt_dk,500,0,0.0,0,0.0,0.0,5,False,"Nyheder
Navigation
Log ind
Profil
Menu
Sektioner
Nyheder
Sport
Underholdning
Penge
Nyheder
Nyheder
Efter skyderi: To mænd sigtet for forsøg på manddra"
businesstimes_com_sg,500,0,0.0,0,0.0,0.0,5,False,THE broadest equity rally on record will pick up speed through the year end and lift the Standard & Poor's 500 Index to the biggest annual increase in
capital_bg,500,0,0.0,0,0.0,0.0,4,False,"Архивът на ""Капитал"" Статията, която искате да прочетете, е част от архива на ""Капитал"", който е достъпен само за абонати . Той включва над 200 000 ст"
cas_sk,500,0,0.0,0,0.0,0.0,5,False,"Slováci z Blízkeho východu mieria DOMOV: Tretí evakuačný let priviezol 84 dospelých i DETI!

Slovenská republika v stredu úspešne zrealizovala tretí e"
chinatimes_com,5,0,0.0,0,0.0,0.0,5,False,"BWF超級1000系列全英羽球公開賽，台灣由男單林俊易、混雙葉宏蔚／詹又蓁首創單屆賽事雙冠紀錄，為台灣羽壇寫下歷史新頁，中華羽球協會理事長張國祚特別宣布頒發每組10萬元激勵獎金，肯定選手們在國際賽場上
世界棒球經典賽於日本東京巨蛋開打，行政院長卓榮泰7日搭乘華航專機，觀看中華隊對捷克隊比賽。行政院表"
